ID ,NOMEESTABELECIMENTO                                 ,EMAIL                            ,CNPJ
25 ,"Mercado Lar"                                       ,controlesistemasgithub@gmail.com ,97027837000166
40 ,"Snake tabacaria Cascavel"                          ,yan@controleautomacao.com.br     ,26434428000136
42 ,"Deck Conveniencia"                                 ,danielmedpaixao@gmail.com        ,45928834000108
43 ,"Brasa Burger Cascavel"                             ,brasaburguercvel@gmail.com       ,30173085000170
45 ,"SANTA PARRILLA MUNCHEN COMERCIO DE ALIMENTOS LTDA" ,danielmedpaixao@gmail.com        ,50875470000177
46 ,"Chicago Burger"                                    ,suporte@controleautomacao.com.br ,20916120000140
47 ,"Parada do Espetinho"                               ,paradadoespetinhocaf@gmail.com   ,28621229000162
48 ,"Brasa Burguer JL"                                  ,yanfelipe@live.de                ,41914253000158
49 ,"Brasa Burguer Catuaí"                              ,yanfelipe@live.de                ,24713873000100
50 ,"Yuu Cascavel"                                      ,yuuasianbar@gmail.com            ,43579429000198
51 ,"X45 Club"                                          ,ruan@controleautomacao.com.br    ,21379999000100
52 ,"Bar do Urso"                                       ,peracioperacio8@gmail.com        ,45889329000193
53 ,"BARRACO LTDA"                                      ,peracioperacio8@gmail.com        ,36773262000136
54 ,"DIAS MOTO PECAS CASCAVEL LTDA"                     ,diasmotoscascavel@gmail.com      ,37991849000184
55 ,"ARMAZÉM CASCAVEL"                                  ,dalmoferrari@gmail.com           ,09546588000158
56 ,"ARMAZÉM MARINGÁ"                                   ,dalmoferrari@gmail.com           ,33101153000184
57 ,"Mercado Lar"                                       ,yan@controleautomacao.com.br     ,47365314000151
58 ,"LA MÁFIA FOZ"                                      ,leo@hotmail.com                  ,28867625000174
59 ,"BBQ Burguer"                                       ,vcamargo@publiciza.com           ,21368273000163
60 ,"Snake Santa Maria"                                 ,yan@controleautomacao.com.br     ,42771624000152
61 ,"Snake toledo"                                      ,yan@controleautomacao.com.br     ,33468837000380
62 ,"SC RESTAURANTE E EVENTOS LTDA"                     ,ruan@controleautomacao.com.br    ,50915857000100
63 ,"snake chapeco"                                     ,yan@controleautomacao.com.br     ,26434428000217
65 ,"Snake campo mourão"                                ,yan@controleautomacao.com.br     ,33468837000208
66 ,"Snake porto alegre"                                ,yan@controleautomacao.com.br     ,33468837000461
67 ,"Snake caxias do sul"                               ,yan@controleautomacao.com.br     ,33468837000542
68 ,"Snake pato branco"                                 ,yan@controleautomacao.com.br     ,33468837000119
70 ,"MEG BEBIDAS"                                       ,ruan@controleautomacao.com.br    ,30018828000138
71 ,"Morgenstern comercio de alimentos"                 ,ruan@controleautomacao.com.br    ,50534830000177
72 ,"NESKE E ANGELI LTDA"                               ,ruan@controleautomacao.com.br    ,40627145000131
73 ,"LA MAFIA"                                          ,ruan@controleautomacao.com.br    ,34000826000172
74 ,"SAKA TOLEDO"                                       ,ruan@controleautomacao.com.br    ,48455426000166
75 ,"SAKA GUARAPUAVA"                                   ,ruan@controleautomacao.com.br    ,40462527000152
76 ,"saka cascavel"                                     ,ruan@controleautomacao.com.br    ,48570665000167
77 ,OKAMI                                               ,ruan@controleautomacao.com.br    ,52980469000138
78 ,"QUIOSQUE DO TICAO"                                 ,ruan@controleautomacao.com.br    ,52970146000163
79 ,"BONI SUSHI - CAMPINA DA LAGOA"                     ,ruan@controleautomacao.com.br    ,28624881000130
80 ,"ARMAZEM 287"                                       ,ruan@controleautomacao.com.br    ,42245683000197
81 ,"PARAGEM HBIER"                                     ,ruan@controleautomacao.com.br    ,51918683000100
82 ,"CASA DO JOAO"                                      ,ruan@controleautomacao.com.br    ,34412894000149
83 ,"TABACARIA HOOKAH MISTIK"                           ,lucas@controleautomacao.com      ,46181974000110
84 ,surubim                                             ,ruan@controleautomacao.com.br    ,06304767000190
85 ,"ESTACAO BEBIDAS LTDA"                              ,lucas@controleautomacao.com.br   ,52409702000127
86 ,"IGOR MATEUS ROSGOSKI KOJURA LTDA"                  ,lucas@controleautomacao.com.br   ,53804385000106
87 ,"EUROPA BAR"                                        ,lucas@controleautomacao.com.br   ,52978518000106
88 ,"RESTAURANTE ETTOS"                                 ,lucas@controleautomacao.com.br   ,44204598000106
89 ,"MERCADO TOMAZELLI"                                 ,ruanfelipe_22@hotmail.com        ,54323938000171
90 ,"GAMBOA RESTAURANTE"                                ,ruanfelipe_22@hotmail.com        ,52183454000149
91 ,"PIZZARIA MARQUES SELECT"                           ,ruanfelipe_22@hotmail.com        ,46705493000166
93 ,"PIZZARIA MARQUES CACHOEIRINHA"                     ,ruanfelipe_22@hotmail.com        ,36040104000177
94 ,"BONAMIGO BEBIDAS"                                  ,ruanfelipe_22@hotmail.com        ,34857915000130
95 ,"MOMA GASTRONOMIA ARABE"                            ,ruanfelipe_22@hotmail.com        ,33038742000165
