"IDCLOUD";"ID";"IDCIDADE";"IDREPRESENTANTE";"NOMEFANTASIA";"NOMECONTATO";"RAZAOSOCIAL";"CNPJ";"CNAE";"INSCRICAOESTADUAL";"EMAIL";"RAMOATIVIDADE";"REPRESENTANTE";"NOVO";"STATUS";"ATIVO";"CEP";"BAIRRO";"CIDADE";"COMPLEMENTO";"NUMERO";"ENDERECO";"UF";"DATAVIGENCIA";"CADASTRADAPOR";"OBSERVACOES";"FONECOBRANCA";"FONEADICIONAL";"DATAINICIO";"DIASLICENCAPROVISORIA";"VALORMENSALIDADE";"VALORIMPLANTACAO"
622774;6;4390;0;"MARAJAH";"ALINE";"HOOKAH SUL COMERCIO E ACESSORIOS DE TABACOS";"22774072000129";"";"9072354599";"marajahnarguiles@gmail.com";"0";"";"N";1;"";"80620200";"AGUA VERDE";"CURITIBA";"";56;"AV AGUA VERDE";"PR";"";"";"";"4196419255";"";"01/10/2018";0;"0";"0"
827194;8;4571;0;"LA STREGA";"LUIZ";"L ACQUA MOSSA BAR E RESTAURANTE LTDA";"27194050000103";"";"9075124284";"vanderson@goldcereais.com.br";"0";"DANIEL";"N";1;"";"85851120";"CENTRO";"FOZ DO IGUACU";"";458;"R. EDMUNDO DE BARROS";"";"";"";"
";"4530277946";"";"01/10/2018";0;"0";"0"
1022297;10;0;0;"PREGO CANTINA ITALIANA";"ROSELi";"PREGO CANTINA ITALIANA LTDA - ME";"22297142000103";"";"";"contato@cantinaprego.com.br";"0";"";"N";1;"";"";"";"";"";0;"";"";"";"";"";"30374788";"";"01/10/2018";0;"0";"0"
1614832;16;114;0;"JACOMINI S TABACARIA E PRESENTES";"CIDA";"TIO NELSON";"14832538000177";"";"79555019912";"cida@brmade.com.br";"0";"";"N";1;"";"88888888";"CAMBUI";"CAMPINAS";"";244;"RUA PADRE ALMEIDA";"";"";"";"";"4533333333";"";"01/10/2018";0;"0";"0"
1778405;17;4563;0;"MERCADO SUPER DEME";"DELVINO";"A. DEMENECH E CIA LTDA";"78405032000164";"";"4100805320";"delvino@email.com";"0";"";"N";1;"";"85802120";"VILA TOLENTINO";"CASCAVEL";"";497;"RUA VISCONDE DE GUARAPUAVA";"PR";"";"";"";"4532244732";"";"01/10/2018";0;"0";"0"
1810997;18;4563;0;"RESTAURANTE SURUBIM";"ADRIANA";"R. N. BURAK E CIA LTDA";"10997941000103";"";"9048881413";"@";"0";"";"N";1;"";"85801080";"CENTRO";"CASCAVEL";"";966;"RUA BARAO DO CERRO AZUL";"";"";"";"";"999131072";"";"01/10/2018";0;"0";"0"
1906304;19;4563;0;"RESTAURANTE SURUBIM";"DODI";"D NEVES E CIA LTDA";"06304767000190";"";"9031310803";"@";"0";"";"N";1;"";"85802030";"NEVA";"CASCAVEL";"";3085;"RUA CUIABA";"";"";"";"
";"4533222956";"";"01/10/2018";0;"0";"0"
2009335;20;4563;0;"FRUTARIA MOURA";"RAFAELA";"ELIZENE T DE MOURA";"09335490000151";"";"9043492753";"moura_faela27@hotmail.com";"0";"ANDERSON";"N";1;"";"85806020";"SANTA CRUZ";"CASCAVEL";"";983;"RUA XAVANTES";"";"";"";"
";"98424776";"";"01/10/2018";0;"0";"0"
2114853;21;193;0;"MERCADO HAWAI";"LUIZ (NEGO)";"MERCADO HAWAI";"14853719000180";"";"9058258951";"luiz@hotmail.com";"0";"";"N";1;"";"85811040";"CLAUDETE";"CASCAVEL";"";1457;"RUA TUIUTI";"";"";"";"";"4530388379";"";"01/10/2018";0;"0";"0"
2216620;22;4563;0;"MARTIGNONI SHOPPING";"JONAS";"G MARTIGNONI & MARTIGNONI LTDA ME";"16620242000118";"";"9060336820";"shoppingmartignoni@gmail.com";"0";"";"N";1;"";"85810230";"CENTRO";"CASCAVEL";"";432;"AV TOLEDO";"";"";"";"
";"4530357760";"";"01/10/2018";0;"0";"0"
2310374;23;4563;0;"RESTAURANTE SABOR NA CHAPA";"LUCIANO";"A. M. FERREIRA -  RESTAURANTE ME";"10374217000115";"";"9045630568";"restaurantes.adm@gmail.co,";"0";"";"N";1;"";"85810000";"CENTRO";"CASCAVEL";"";6320;"AV. BRASIL";"";"";"";"";"33515445";"";"01/10/2018";0;"0";"0"
2429291;24;4563;0;"MERCADO LAR";"ALISON";"DEGRANDIS COMERCIO ALIMENTOS LTDA - ME";"29291711000144";"";"9076914548";"@";"0";"";"N";1;"";"85805260";"ALTO ALEGRE";"CASCAVEL";"";5723;"RUA CUIABA";"";"";"";"";"4533067887";"";"01/10/2018";0;"0";"0"
2527437;25;4563;0;"RESTAURANTE MARICOTA";"MARI";"RESTAURANTE CENTRAL PARK LTDA - ME";"27437246000181";"";"9074653143";"@";"0";"";"N";1;"";"85810000";"CENTRO";"CASCAVEL";"CENTRAL PARK";6282;"AV BRASIL";"";"";"";"";"4530357707";"";"01/10/2018";0;"0";"0"
2608504;26;4563;0;"MERCADO REI DO PAO";"SANDRA";"FABIO ANTONIO PIANO-MERCADO";"08504931000139";"";"9039097653";"fabio.piano@hotmail.com";"0";"";"N";1;"";"85819740";"CIRO NARDI";"CASCAVEL";"";706;"RUA DA LAPA";"";"";"";"";"4533064686";"";"01/10/2018";0;"0";"0"
2730606;27;4563;0;"RESTAURANTE KILOGRAMA";"FELIPE";"CARVALHO E GALVAO GASTRONOMIA LTDA";"30606476000131";"";"9078270206";"contato@restaurantekilograma.com.br";"0";"";"N";1;"";"85810000";"CENTRO";"CASCAVEL";"";6972;"AV. BRASIL";"";"";"";"";"99425540";"";"01/10/2018";0;"0";"0"
2824450;28;4563;0;"MONKA ACAI";"CAROL";"MONKA RESTAURANTE  LTDA";"24450343000116";"";"9071766737";"@";"0";"";"N";1;"";"85812260";"CENTRO";"CASCAVEL";"";4109;"RUA SOUZA NAVES";"";"";"";"";"45998119321";"";"01/10/2018";0;"0";"0"
2901994;29;4563;0;"MERCEARIA BELA VISTA";"JANDIRA";"N P S COMERCIO DE ALIMENTOS LTDA ME";"01994932000160";"";"9013819928";"jeisse@jps.net.br";"2";"";"N";1;"";"85815550";"BELA VISTA";"CASCAVEL";"";227;"R. AMARELA";"";"";"";"";"99220201";"";"01/10/2018";0;"0";"0"
3030339;30;4390;0;"LA MAFIA TRATTORIA";"ALEXANDRE";"ALEXANDRE LUBACZEUSKI RESTAURANTE EIRELI";"30339114000121";"";"9077998672";"@";"0";"";"N";1;"";"80430152";"BIGORRILHO";"CURITIBA";"";2601;"RUA DESEMBARGADOR MOTTA";"";"";"";"";"4130761015";"";"01/10/2018";0;"0";"0"
3115474;31;4563;0;"MERCADO VALE VERDE";"ANDRE";"VARDELI FARIAS ME";"15474702000184";"";"9059474780";"fiscal.mazutti@outlook.com.br";"0";"";"N";3;"";"85817050";"PERIOLO";"CASCAVEL";"";793;"R. LEBLON ";"";"";"";"
";"99942924";"";"01/10/2018";0;"0";"0"
3214213;32;4563;0;"CHEFS PIZZA";"MARCELO";"M B OLDRA ME";"14213501000160";"";"9064421244";"@";"0";"";"N";1;"";"85812035";"CENTRO";"CASCAVEL";"";2209;"RUA MINAS GERAIS";"";"";"";"";"4530353637";"";"01/10/2018";0;"0";"0"
3324923;33;4563;0;"BOTECO MARTIGNONI";"DAWSON";"FAUSTINO E SIMPLICIO LTDA";"24923527000156";"";"9072306519";"@";"0";"";"N";3;"";"85810160";"CENTRO";"CASCAVEL";"";2640;"RUA PIO XII";"";"";"";"



";"4599110132";"";"01/10/2018";0;"0";"0"
3405112;34;4563;0;"MERCADO METROPOLITANO";"LUCI";"L F VITALINO  CIA LTDA.";"05112812000142";"";"9026221959";"lucineif.vitalino@live.com";"0";"";"N";1;"";"85811480";"CLAUDETE";"CASCAVEL";"";519;"RUA THEOFANIO MALTEZO";"";"";"";"";"98010757";"";"01/10/2018";0;"0";"0"
3525153;35;4563;0;"MUBARAK COMIDA ARABE";"FERNANDO";"JOAO MANUEL CAUS EIRELI";"34242944000197";"";"";"@";"0";"";"N";1;"";"85807550";"COQUEIRAL";"CASCAVEL";"";1419;"RUA FRANCISCO BARTINIK ";"PR";"";"";"
";"32272761";"";"01/10/2018";0;"0";"0"
3721379;37;4563;0;"EMPRESA TESTE";"TESTE";"EMPRESA TESTE";"21379999000100";"";"9068332718";"teste@teste";"0";"";"N";1;"";"85811180";"CENTRO";"CASCAVEL";"";9049;"AV BRASIL";"";"";"";"";"4533064756";"";"01/10/2018";0;"0";"0"
3818338;38;4563;0;"PANIFICADORA E MERCADO ESTRELA";"ANA";"A V MENESES - ME";"18338877000152";"";"9063454807";"@";"0";"";"N";1;"";"85817750";"MORUMBI";"CASCAVEL";"SALA A";139;"RUA MONTE NEGRO";"";"";"";"";"98627444";"";"01/10/2018";0;"0";"0"
3930228;39;4563;0;"BELEZA PURA COSMETICOS";"A";"CINTIA MARIA CALIXTO PEREIRA 04145541910";"30228184000102";"";"          ";"@";"0";"DANIEL";"N";1;"";"85812010";"CENTRO";"CASCAVEL";"";1998;"R PARANA";"";"";"";"
";"4530374238";"";"01/10/2018";0;"0";"0"
4015072;40;4563;0;"RESTAURANTE BACIN";"JESSICA";"L BACCIN RESTAURANTE ME";"15072417000137";"";"9058674823";"jessikbaccin@hotmail.com";"0";"";"N";3;"";"85801095";"CENTRO";"CASCAVEL";"";10;"RUA JARLINDO JOAO GRANDO";"";"";"";"

";"99856199";"";"01/10/2018";0;"0";"0"
4110895;41;4563;0;"RESTAURANTE GALETTOS";"SAMARA";"RESTAURANTE GALETTOS LTDA";"10895725000149";"";"9048379114";"@";"0";"";"N";1;"";"85812001";"CENTRO";"CASCAVEL";"";5179;"AV. BRASIL";"";"";"";"
";"33061629";"";"01/10/2018";0;"0";"0"
4223839;42;4571;0;"KAMI SUSHI";"TIAGO";"SILVA SUSHI FAST FOOD LTDA";"23839735000109";"";"9071051568";"@";"0";"";"N";1;"";"85863000";"CENTRO";"FOZ DO IGUACU";"";185;"AV COSTA E SILVA";"";"";"";"";"999342233";"";"01/10/2018";0;"0";"0"
4327045;43;4563;0;"PANIFICADORA CASCAVEL";"WILLIAN";"PANIFICADORA CASCAVEL";"27045288000177";"";"9074191344";"@";"0";"";"N";1;"";"85811280";"CANCELLI";"CASCAVEL";"";755;"R. CARLOS BARTOLOMEU CANCELLI";"";"";"";"";"99348464";"";"01/10/2018";0;"0";"0"
4408861;44;5581;0;"SABOR E ARTE";"ERNESTO";"SATIKO SASAKI - ME";"08861670000104";"";"074175423 ";"@";"0";"";"N";1;"";"47850000";"CENTRO";"LUIS EDUARDO MAGALHAES";"";1260;"R. JOSÉ CARDOSO DE LIMA";"";"";"";"";"7736287432";"";"01/10/2018";0;"0";"0"
4523376;45;4563;0;"PRESLEY BURGER";"ANGELA";"PRESLEY BURGERS LTDA - ME";"23376647000118";"";"9070562445";"@";"0";"ANDERSON";"N";1;"";"85810010";"CENTRO";"CASCAVEL";"";4060;"R. PARANA ";"";"";"";"

";"99790205";"";"01/10/2018";0;"0";"0"
4622978;46;4583;0;"PLUTAO LANCHES";"GILBERTO";"GILBERTO WACHHOLTZ LANCHES EIRELI";"22978311000162";"";"9070643011";"@";"0";"DANIEL";"N";1;"";"85905360";"CENTRO";"TOLEDO";"";1459;"RUA LEDOINO JOSE BIAVATTI ";"";"";"";"
";"991478878";"";"01/10/2018";0;"0";"0"
